,Product_Name,Product_Price,rating,Reviews,Product_URL
0,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.1 out of 5 stars,480,/sspa/click?ie=UTF8&spc=MToxMjg2NjgzOTA2MzM0NTEwOjE2ODg3MjYyMjY6c3BfYXRmX25leHQ6MjAwNjM3ODQ0NTgzOTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726226%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.2 out of 5 stars,57,/sspa/click?ie=UTF8&spc=MToxMjg2NjgzOTA2MzM0NTEwOjE2ODg3MjYyMjY6c3BfYXRmX25leHQ6MjAxMjc2ODM4NzIzOTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726226%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",689,3.8 out of 5 stars,"2,212",/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-19
3,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,749,4.1 out of 5 stars,"1,457",/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-20
4,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,3.8 out of 5 stars,"2,895",/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-21
5,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0 out of 5 stars,"7,900",/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-22
6,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,3.9 out of 5 stars,"8,966",/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-23
7,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1 out of 5 stars,"5,658",/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-24
8,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3 out of 5 stars,"5,380",/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-25
9,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",570,4.4 out of 5 stars,"3,463",/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-26
10,"WALKENT Stylish 15.6"" Laptop Bag with Side Bottle Pocket, Anti-Theft Pockets & More for Men & Women (Model Cylapso, 27 Liters)","2,490",4.0 out of 5 stars,"5,968",/sspa/click?ie=UTF8&spc=MToxMjg2NjgzOTA2MzM0NTEwOjE2ODg3MjYyMjY6c3BfbXRmOjMwMDAwNjcwMzgxNjAzMjo6MDo6&url=%2FWALKENT-Stylish-Anti-Theft-Pockets-Cylapso%2Fdp%2FB0C7KLRJ93%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726226%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
11,"WALKENT 3 in 1 Expandable 17"" Laptop Bag for Men with Front Chest Straps, Flap Cover & More (Model Macho, 39 Liters, Black)","3,990",3.9 out of 5 stars,936,/sspa/click?ie=UTF8&spc=MToxMjg2NjgzOTA2MzM0NTEwOjE2ODg3MjYyMjY6c3BfbXRmOjMwMDAwNjc5MTYyNzAzMjo6MDo6&url=%2FWALKENT-Expandable-Laptop-Straps-Macho%2Fdp%2FB0C7KPGR2Y%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726226%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0 out of 5 stars,682,/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-29
13,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899,3.8 out of 5 stars,539,/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-30
