,Description,ASIN,Product Description,Manufacturer
0,"   Care Instructions: Hand Wash Only    Handcrafted with care and made up of premium quality robust material    
","

                Computers & Accessories
            
"," 
"," 
"
1,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser    
","
             ›
         "," 
"," 
"
2,"   Care Instructions: Hand Wash Only    Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories    CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem    FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult    COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.    12 Months Limited Brand Warranty    
","

                Accessories & Peripherals
            
"," 
 Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag  "," 
 Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag  "
3,"   HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.    FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access    MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella    COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps; WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper    
","
             ›
         "," 
"," 
"
4,"   Care Instructions: Wipe with Damp Cloth    PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 32 Ltrs backpack with Dimension of 32 Cm x 22 Cm x 45 Cm, 2 full size compartments, 1 front zipper & 2 side pockets, Fits upto 15.6 inches Laptop with elasticated strap lock at just 590 grams.    CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric and faux leather for a lightweight and durable finish. Our polestar Vintage backpack is a blend of style and utility. A classic design with opulent detailing and vegan leather material adds to your style and keeps your belongings safe.    COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.    BENEFITS: 2 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, two side water bottle pockets help keep your goods dry and body hydrated.    VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one VINTAGE BACKPACK by Polestar.    
","

                Laptop Accessories
            
"," 
"," 
"
5,"   Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>    External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments<br>    The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease<br>    Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey<br>    Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only<br>    
","
             ›
         "," 
 The Walkent Macho Laptop Backpack is the perfect combination of style and functionality and some bold looks. A unique design bag for men who want more in their daily use.Here are some of the bag's key features: ✅ Expandable to Increase Space: The bag is designed to increase in size, providing you with additional storage space as and when you need it ✅ Side Bottle Pockets: Stay hydrated on the go with the convenient side bottle pockets ✅ Cushioned Shoulder Bags: The cushioned shoulder straps ensure maximum comfort, even when carrying the bag for extended periods ✅ Waterproof & Scratch-Resistant: The bag is made of waterproof & scratch-resistant polyester & vegan leather, ensuring the safety of your laptop & other essentials in all weather conditions ✅ Front Utility Pockets: Keep your most needed things within easy reach with the front utility pockets ✅ Organizer Pockets: The bag has organizer pockets on the inside, allowing you to keep your belongings organized ✅ Openable Sideways: The Macho bag can be opened sideways, making it easier to arrange your belongings ✅ Hideable Shoulder Straps: The shoulder straps can be hidden with a foldable flap ✅ Three Carrying Options: The Macho bag can be carried in three different ways - like a school bag, handbag, or duffle bag, depending on your preference  ✅ Front Chest Straps: The front chest straps ensure easy load distribution, reducing the strain on your back and shoulders  ✅ Large Capacity: With a capacity of 39 liters, the Macho bag can easily accommodate a 17-inch laptop & other essentials✅ Stylish & Fashionable: The Macho bag is a stylish & fashionable bag that's perfect for office & college use by boys and menThe Walkent Macho laptop backpack is an ideal choice for anyone looking for a waterproof, stylish, & functional bag for office and college use. The macho styling make this bag unique and highly attractive. BUY NOW  "," 
 The Walkent Macho Laptop Backpack is the perfect combination of style and functionality and some bold looks. A unique design bag for men who want more in their daily use.Here are some of the bag's key features: ✅ Expandable to Increase Space: The bag is designed to increase in size, providing you with additional storage space as and when you need it ✅ Side Bottle Pockets: Stay hydrated on the go with the convenient side bottle pockets ✅ Cushioned Shoulder Bags: The cushioned shoulder straps ensure maximum comfort, even when carrying the bag for extended periods ✅ Waterproof & Scratch-Resistant: The bag is made of waterproof & scratch-resistant polyester & vegan leather, ensuring the safety of your laptop & other essentials in all weather conditions ✅ Front Utility Pockets: Keep your most needed things within easy reach with the front utility pockets ✅ Organizer Pockets: The bag has organizer pockets on the inside, allowing you to keep your belongings organized ✅ Openable Sideways: The Macho bag can be opened sideways, making it easier to arrange your belongings ✅ Hideable Shoulder Straps: The shoulder straps can be hidden with a foldable flap ✅ Three Carrying Options: The Macho bag can be carried in three different ways - like a school bag, handbag, or duffle bag, depending on your preference  ✅ Front Chest Straps: The front chest straps ensure easy load distribution, reducing the strain on your back and shoulders  ✅ Large Capacity: With a capacity of 39 liters, the Macho bag can easily accommodate a 17-inch laptop & other essentials✅ Stylish & Fashionable: The Macho bag is a stylish & fashionable bag that's perfect for office & college use by boys and menThe Walkent Macho laptop backpack is an ideal choice for anyone looking for a waterproof, stylish, & functional bag for office and college use. The macho styling make this bag unique and highly attractive. BUY NOW  "
6,"   Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort    Smooth zippers that never jam or break    Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use    Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials    The padded shoulder straps, handle, and back panel provides protection and all-day comfort.    
› See more product details ","

                Bags & Sleeves
            
"," 
 Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.  "," 
 Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.  "
7,"   Care Instructions: Wipe with Damp Cloth    Stylish Design: The Macho backpack boasts a stylish and fashionable design that is perfect for office and college use by men. It can comfortably fit a 17-inch laptop, making it a great choice for students, professionals, and commuters alike    Multiple Carrying Options: The backpack can be carried in 3 different ways - like a school bag, handbag, or duffle bag - thanks to its foldable flap and versatile design    Ample Storage Space: With a capacity of 39 liters, the Macho backpack has plenty of space for your laptop, accessories, and other essentials. It also features front utility pockets and organizer pockets on the inside to help you stay organized    Durable Construction: The backpack is made from waterproof and scratch-resistant polyester and vegan leather, and features extra strong and durable handles that can handle even the heaviest loads    Expandable Design: The Macho backpack can expand to accommodate larger items, making it perfect for travel or commuting    
","
             ›
         "," 
 Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.  "," 
 Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.  "
8,"   Care Instructions: Hand Wash Only    Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo    Dimensions : LxWxH- 31 x 18 x 47 cms    Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)    No. of Compartments : 3 with full padding    NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)    
","

                 Laptop Backpacks
             
"," 
 A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.  "," 
 A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.  "
9,"   Care Instructions: Hand Wash Only    100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight    
",      ," 
"," 
"
